Country ,Population,GDP,Climate,Industrial,Solar,Hour 0,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22 ,Hour 23
Croatia,3866200,92983810000,Temperate,19.2,9,0.977315297,0.882414152,0.828581339,0.823031564,0.830246271,0.881304197,1.053347208,1.194866459,1.178217135,1.071106486,0.935691988,0.882414152,0.867429761,0.846895595,0.804717308,0.811377038,0.84356573,0.933472078,1.053902185,1.20985085,1.369129379,1.343045439,1.252029136,1.126049254
Cyprus,1358280,37634530000,Arid,11.1,24,0.798683566,0.754796583,0.72351376,0.737763462,0.791681255,0.909197535,1.021532106,1.130313003,1.135319655,1.116973601,1.088089069,1.063318395,1.052027169,1.014214691,1.028586934,1.009032981,1.037935019,1.096736923,1.148519011,1.22599958,1.184913521,1.095056369,0.970222673,0.865573139
Czech Republic,10905030,3.47E+11,Continential ,29.2,6,0.804918693,0.809237475,0.791714954,0.786636695,0.783488387,0.843429933,0.969875658,1.085608889,1.108441104,1.146645094,1.157767253,1.154899593,1.178048367,1.177173172,1.133675449,1.100523116,1.051549439,1.032283179,1.007386675,1.031779077,1.047517956,0.983455811,0.926423158,0.887520873
Denmark,5976990,4.25E+11,Continential ,24.1,13,0.886993694,0.915522116,0.891752446,0.843652479,0.826121964,0.86496503,0.981029961,1.080350567,1.107317557,1.091160138,1.104731232,1.116598547,1.105401355,1.09030168,1.065881595,1.050359261,1.053596,1.061626531,1.044593134,1.016723885,1.009849646,0.983844041,0.92584771,0.881779433
Estonia,1372340,43130420000,Continential ,20.1,18,0.992065355,0.957738198,0.927149122,0.930918791,0.988116679,0.994360852,1.114874443,1.158573124,1.226616709,1.062478145,1.023549465,0.963792835,0.899561039,1.050663707,0.865781432,0.705654723,0.838277588,1.015862709,1.028129929,0.921757863,1.036237877,1.115000801,1.102607223,1.080231392
Finland,5619910,2.99E+11,Continential ,22.8,1,0.971983516,0.943778552,0.941986391,0.939897134,0.958374597,0.994984506,1.033511165,1.047311759,1.05670383,1.046736734,1.031977766,1.022489857,1.010893525,1.011468549,1.024694119,1.006197489,1.010797687,0.958949621,0.949135866,0.955643229,0.982238124,1.003322365,1.039644762,1.057278855
France,68551650,3.16E+12,Temperate,17.2,6,1.011851696,0.96480642,0.939402368,0.890581267,0.87755273,0.908365831,0.980086786,1.071484468,1.120119909,1.11778389,1.087897882,1.063792645,1.063523398,1.029406195,1.024514741,0.991593878,0.939138345,0.921382514,0.952966587,1.019339172,1.021271923,1.015847602,0.992882445,0.994407307
Germany,83516590,4.69E+12,Temperate,25.6,18,0.777176417,0.755276888,0.740108751,0.749425773,0.757467474,0.812835672,0.940610468,1.025232656,1.090095621,1.111486005,1.136897152,1.145570008,1.153535407,1.144414061,1.123868089,1.10447701,1.094790085,1.096565408,1.106580218,1.100689547,1.085308153,1.053164032,0.990825164,0.90359994
Greece,10405130,2.56E+11,Temperate,15,22,0.82749433,0.79590186,0.764499707,0.759170856,0.768306028,0.809604618,0.892201798,0.964712226,0.991927426,1.076047135,1.168921384,1.226777473,1.287488303,1.287297987,1.201465434,1.125719633,0.974798979,0.940922716,1.008104293,1.07871156,1.120200466,1.060060584,0.970041077,0.899624126
Hungary,9562070,2.23E+11,Continential ,23.7,27,1.058500524,0.997130561,0.927023667,0.938149738,0.938337207,0.988757669,1.091649851,1.142504107,1.071656057,0.962614452,0.874098532,0.808517054,0.772152414,0.757957081,0.737760558,0.806755717,0.887247525,1.011323713,1.122702141,1.230664709,1.276827878,1.242549376,1.189894545,1.165224923
Ireland,5395790,6.09E+11,Temperate,33.6,5,0.913019761,0.867039414,0.844260701,0.819509141,0.830205047,0.811175927,0.802880515,0.847353465,0.95160252,1.075620219,1.097305005,1.104579734,1.097803533,1.077458393,1.084522842,1.053866914,1.048383107,1.069746567,1.110812515,1.131755416,1.112752285,1.115960821,1.112263208,1.020122949
