Country,Latitude,Longitude,UTC_Offset_h,Hour_00_Local_AC_W,Hour_01_Local_AC_W,Hour_02_Local_AC_W,Hour_03_Local_AC_W,Hour_04_Local_AC_W,Hour_05_Local_AC_W,Hour_06_Local_AC_W,Hour_07_Local_AC_W,Hour_08_Local_AC_W,Hour_09_Local_AC_W,Hour_10_Local_AC_W,Hour_11_Local_AC_W,Hour_12_Local_AC_W,Hour_13_Local_AC_W,Hour_14_Local_AC_W,Hour_15_Local_AC_W,Hour_16_Local_AC_W,Hour_17_Local_AC_W,Hour_18_Local_AC_W,Hour_19_Local_AC_W,Hour_20_Local_AC_W,Hour_21_Local_AC_W,Hour_22_Local_AC_W,Hour_23_Local_AC_W,Daily_Energy_Wh,Peak_AC_W,Peak_Hour_Local
Qatar,25.35,51.18,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.78,1275.55,1994.4,2472.81,2723.93,2755.09,2567.26,2154.83,1506.31,610.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18385.63,2755.09,12
Romania,45.94,24.97,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.9,2087.21,2559.26,2767.88,2742.78,2479.98,1943.35,1004.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16845.24,2767.88,12
Russia,61.52,105.32,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.61,1579.94,1805.42,1609.01,913.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6753.13,1805.42,12
Rwanda,-1.94,29.87,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.96,1361.71,2062.91,2577.29,2891.59,3004.65,2917.18,2628.56,2139.3,1460.13,639.1,0.0,0.0,0.0,0.0,0.0,0.0,22214.39,3004.65,12
Saint Kitts and Nevis,17.36,-62.78,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83,940.51,1751.05,2341.41,2712.49,2869.34,2815.06,2548.5,2065.07,1360.55,451.28,0.0,0.0,0.0,0.0,0.0,0.0,19901.09,2869.34,12
Saint Lucia,13.91,-60.98,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.3,1175.32,1940.32,2491.92,2830.25,2959.18,2881.05,2594.38,2095.26,1381.94,471.79,0.0,0.0,0.0,0.0,0.0,0.0,21061.71,2959.18,12
Saint Vincent and the Grenadines,12.98,-61.29,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.13,1184.17,1948.72,2502.01,2843.21,2975.9,2902.35,2621.22,2128.86,1424.01,522.77,0.0,0.0,0.0,0.0,0.0,0.0,21304.35,2975.9,12
Samoa,-13.76,-172.1,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.76,1040.55,1772.76,2357.02,2755.88,2959.25,2965.01,2774.53,2388.3,1815.43,1090.55,330.73,0.0,0.0,0.0,0.0,0.0,22537.78,2965.01,13
San Marino,43.94,12.46,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.68,888.47,1657.36,2115.08,2301.18,2231.09,1899.19,1276.56,346.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12728.73,2301.18,12
Sao Tome and Principe,0.19,6.61,0,0.0,0.0,0.0,0.0,0.0,0.0,86.12,884.79,1678.17,2302.89,2730.29,2955.19,2978.34,2799.92,2418.95,1838.29,1078.23,239.82,0.0,0.0,0.0,0.0,0.0,0.0,21990.99,2978.34,12
Saudi Arabia,23.89,45.08,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.77,981.89,1791.15,2358.08,2696.51,2815.35,2717.99,2401.63,1857.87,1073.28,111.03,0.0,0.0,0.0,0.0,0.0,0.0,18849.57,2815.35,12
Senegal,14.5,-14.45,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.44,1026.69,1773.74,2313.94,2638.43,2748.86,2646.72,2330.62,1798.76,1059.15,205.11,0.0,0.0,0.0,0.0,0.0,0.0,18718.46,2748.86,12
Serbia,44.02,21.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.63,1961.22,2495.77,2766.85,2802.57,2605.91,2158.62,1390.4,121.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17355.62,2802.57,12
Seychelles,-4.68,55.49,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.65,1104.85,1841.11,2407.76,2779.28,2950.52,2921.54,2692.22,2263.1,1643.0,869.62,112.14,0.0,0.0,0.0,0.0,0.0,21887.8,2950.52,12
Sierra Leone,8.46,-11.78,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.59,1395.59,2085.47,2571.19,2848.3,2918.57,2782.9,2439.68,1888.04,1137.41,261.18,0.0,0.0,0.0,0.0,0.0,0.0,20865.93,2918.57,12
Singapore,1.35,103.82,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.42,1166.94,1884.68,2418.99,2751.79,2880.52,2805.63,2526.75,2044.87,1371.86,562.12,0.0,0.0,0.0,0.0,0.0,0.0,20763.57,2880.52,12
